id,year,date.entered,date.peaked,week,rank
1,2000,2000-09-23,2000-11-18,1,78.0
1,2000,2000-09-23,2000-11-18,2,63.0
1,2000,2000-09-23,2000-11-18,3,49.0
1,2000,2000-09-23,2000-11-18,4,33.0
1,2000,2000-09-23,2000-11-18,5,23.0
1,2000,2000-09-23,2000-11-18,6,15.0
1,2000,2000-09-23,2000-11-18,7,7.0
1,2000,2000-09-23,2000-11-18,8,5.0
1,2000,2000-09-23,2000-11-18,9,1.0
1,2000,2000-09-23,2000-11-18,10,1.0
1,2000,2000-09-23,2000-11-18,11,1.0
1,2000,2000-09-23,2000-11-18,12,1.0
1,2000,2000-09-23,2000-11-18,13,1.0
1,2000,2000-09-23,2000-11-18,14,1.0
1,2000,2000-09-23,2000-11-18,15,1.0
1,2000,2000-09-23,2000-11-18,16,1.0
1,2000,2000-09-23,2000-11-18,17,1.0
1,2000,2000-09-23,2000-11-18,18,1.0
1,2000,2000-09-23,2000-11-18,19,1.0
1,2000,2000-09-23,2000-11-18,20,2.0
1,2000,2000-09-23,2000-11-18,21,3.0
1,2000,2000-09-23,2000-11-18,22,7.0
1,2000,2000-09-23,2000-11-18,23,10.0
1,2000,2000-09-23,2000-11-18,24,12.0
1,2000,2000-09-23,2000-11-18,25,15.0
1,2000,2000-09-23,2000-11-18,26,22.0
1,2000,2000-09-23,2000-11-18,27,29.0
1,2000,2000-09-23,2000-11-18,28,31.0
1,2000,2000-09-23,2000-11-18,29,
1,2000,2000-09-23,2000-11-18,30,
1,2000,2000-09-23,2000-11-18,31,
1,2000,2000-09-23,2000-11-18,32,
1,2000,2000-09-23,2000-11-18,33,
1,2000,2000-09-23,2000-11-18,34,
1,2000,2000-09-23,2000-11-18,35,
1,2000,2000-09-23,2000-11-18,36,
1,2000,2000-09-23,2000-11-18,37,
1,2000,2000-09-23,2000-11-18,38,
1,2000,2000-09-23,2000-11-18,39,
1,2000,2000-09-23,2000-11-18,40,
1,2000,2000-09-23,2000-11-18,41,
1,2000,2000-09-23,2000-11-18,42,
1,2000,2000-09-23,2000-11-18,43,
1,2000,2000-09-23,2000-11-18,44,
